Date,Time,Fetcher,Student,Status
2026-02-23,08:59:09,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,09:10:09,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,09:38:01,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,09:38:07,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,09:38:17,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,09:38:22,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,09:43:47,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,09:43:57,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,09:44:03,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,09:44:08,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,09:47:34,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,09:47:46,TEACHER (Bill),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,09:47:57,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,09:48:20,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,09:49:03,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,09:49:09,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,09:49:15,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,09:49:22,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,10:00:40,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-02-23,10:01:03,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-02-23,10:01:33,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,10:02:11,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,10:13:19,TEACHER (Joan),Millie Brown,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,10:13:34,Jimmy Brown,Millie Brown,AUTHORIZED
2026-02-23,10:14:07,Jimmy Brown,Millie Brown,AUTHORIZED
2026-02-23,10:14:37,TEACHER (Joan),Millie Brown,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,10:15:18,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-02-23,10:49:45,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,10:49:58,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,10:50:11,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,10:50:20,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,10:50:41,Rosa Dominguez,Dale Dominguez,AUTHORIZED
2026-02-23,10:50:55,Rosa Dominguez,Shiela Dominguez,AUTHORIZED
2026-02-23,10:51:13,Angela Flores,Samantha Villanueva,AUTHORIZED
2026-02-23,10:51:22,Angela Flores,Nathaniel Villanueva,AUTHORIZED
2026-02-23,10:51:32,Emilio Navarro,Winsley Bautista,AUTHORIZED
2026-02-23,10:51:41,Emilio Navarro,Justin Cruz,AUTHORIZED
2026-02-23,10:51:51,Luz Manalo,Kimberly Manalo,AUTHORIZED
2026-02-23,10:52:01,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-02-23,10:52:13,Jimmy Brown,Millie Brown,AUTHORIZED
2026-02-23,10:52:21,Dell Cruz,Stephen Cruz,AUTHORIZED
2026-02-23,10:58:21,Emilio Navarro,Justin Cruz,AUTHORIZED
2026-02-23,10:58:27,Emilio Navarro,Winsley Bautista,AUTHORIZED
2026-02-23,10:58:34,Angela Flores,Nathaniel Villanueva,AUTHORIZED
2026-02-23,10:58:39,Angela Flores,Samantha Villanueva,AUTHORIZED
2026-02-23,10:58:49,Rosa Dominguez,Shiela Dominguez,AUTHORIZED
2026-02-23,10:58:54,Rosa Dominguez,Dale Dominguez,AUTHORIZED
2026-02-23,10:59:08,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,10:59:13,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,10:59:19,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,10:59:24,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,14:46:32,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,14:46:38,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,14:46:52,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,14:47:05,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,14:49:28,Dell Cruz,Dale Dominguez,DENIED
2026-02-23,14:49:41,Dell Cruz,Stephen Cruz,AUTHORIZED
2026-02-23,22:04:37,Luz Manalo,Kimberly Manalo,AUTHORIZED
2026-02-23,22:04:48,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,22:04:57,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,22:05:06,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,22:05:20,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,22:05:30,Rosa Dominguez,Dale Dominguez,AUTHORIZED
2026-02-23,22:05:40,Rosa Dominguez,Shiela Dominguez,AUTHORIZED
2026-02-23,22:05:49,Angela Flores,Nathaniel Villanueva,AUTHORIZED
2026-02-23,22:06:00,Angela Flores,Samantha Villanueva,AUTHORIZED
2026-02-23,22:06:09,Emilio Navarro,Winsley Bautista,AUTHORIZED
2026-02-23,22:06:18,Emilio Navarro,Justin Cruz,AUTHORIZED
2026-02-23,22:06:28,Dell Cruz,Stephen Cruz,AUTHORIZED
2026-02-23,22:06:37,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-02-23,22:06:48,Jimmy Brown,Millie Brown,AUTHORIZED
