Date,Time,Fetcher,Student,Status
2026-02-18,11:43:02,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,11:43:21,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-18,11:43:26,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-18,11:43:31,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,11:43:36,Magdalena,Jennie Kim,AUTHORIZED
2026-02-18,11:43:41,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-18,11:43:46,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-18,11:43:51,Magdalena,Rosé Park,AUTHORIZED
2026-02-18,11:44:53,TEACHER (Andi),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-18,11:45:08,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-18,11:45:35,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-18,11:46:53,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,11:47:01,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-18,11:47:08,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,11:47:15,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,11:58:04,TEACHER (Andi),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-18,12:02:24,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,12:02:33,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,12:02:41,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,12:15:50,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,12:15:57,TEACHER (Andi),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-18,14:38:44,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-18,14:40:44,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-18,14:40:57,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-18,14:41:10,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-18,14:41:15,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-18,14:41:27,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,14:41:33,Magdalena,Rosé Park,AUTHORIZED
2026-02-18,14:41:37,Magdalena,Jennie Kim,AUTHORIZED
2026-02-18,14:41:42,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-18,14:41:47,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-18,14:42:15,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,14:42:19,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,15:14:05,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-18,15:16:06,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,15:16:18,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,15:16:32,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,15:16:37,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-18,15:17:02,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-18,15:17:08,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-18,17:05:27,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-18,17:05:34,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-18,17:05:41,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-18,17:05:53,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-18,17:06:00,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-18,17:06:12,Magdalena,Rosé Park,AUTHORIZED
2026-02-18,17:06:18,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-18,17:06:26,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-18,17:06:37,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,17:06:45,Magdalena,Jennie Kim,AUTHORIZED
2026-02-18,17:07:04,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,17:07:08,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,17:07:13,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-18,18:41:12,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-18,18:41:31,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,18:45:54,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-18,18:47:26,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-18,18:56:12,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-18,19:24:46,Karmen Solomon,Chaewon Kim,DENIED
2026-02-18,19:25:38,Karmen Solomon,Chaewon Kim,DENIED
2026-02-18,19:54:15,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-18,19:54:33,TEACHER (Andi),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-18,19:55:24,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-18,19:55:31,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-18,19:55:36,Magdalena,Rosé Park,AUTHORIZED
