Date,Time,Fetcher,Student,Status
2026-03-13,15:55:50,TEACHER (Marvin),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,15:56:28,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-13,18:01:53,Teresita Angelesa,Karina Yu,AUTHORIZED
2026-03-13,18:02:11,TEACHER (K Lozano),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:02:26,TEACHER (K Lozano),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:02:45,ADMIN (Kent),Karina Yu,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:02:53,ADMIN (Kent),Jisoo Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:03:03,ADMIN (Kent),Rosé Park,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:03:12,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:03:30,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-13,18:03:51,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-13,18:04:14,TEACHER (K Lozano),Jisoo Kim,DENIED
2026-03-13,18:04:26,TEACHER (Bill),Karina Yu,DENIED
2026-03-13,18:04:43,Joyce Shelby,Jisoo Kim,DENIED
2026-03-13,18:04:52,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-13,18:05:02,Maria Santos,Karina Yu,DENIED
2026-03-13,18:05:14,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,18:05:34,Teresita Angelesa,Rosé Park,DENIED
2026-03-13,18:05:52,Teresita Angelesa,Karina Yu,AUTHORIZED
2026-03-13,18:06:03,Maria Santos,Rosé Park,AUTHORIZED
2026-03-13,18:06:08,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-13,18:06:16,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:07:20,Maria Santos,Rosé Park,AUTHORIZED
2026-03-13,18:07:35,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,18:07:46,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:08:03,TEACHER (Bill),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:08:48,Maria Santos,Rosé Park,AUTHORIZED
2026-03-13,18:08:53,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,18:09:00,ADMIN (Kent),Lisa Manobal,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:09:14,TEACHER (Bill),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:09:39,ADMIN (Kent),Karina Yu,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:40:31,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,18:40:39,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:40:50,ADMIN (Kent),Lisa Manobal,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:40:57,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:41:24,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,18:41:32,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:41:44,ADMIN (Kent),Lisa Manobal,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:42:02,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:42:53,TEACHER (K Lozano),Jisoo Kim,DENIED
2026-03-13,18:43:04,TEACHER (K Lozano),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:43:15,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:43:46,TEACHER (Ana),Jisoo Kim,DENIED
2026-03-13,18:44:03,TEACHER (Ana),Jisoo Kim,DENIED
2026-03-13,18:44:28,TEACHER (Bill),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,18:44:40,ADMIN (Kent),Rosé Park,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,18:44:52,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-13,18:45:00,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-13,19:27:09,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,20:30:35,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-13,20:30:43,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,20:30:53,ADMIN (Kent),Rosé Park,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,21:02:42,ADMIN (Kent),Rosé Park,AUTHORIZED (ADMIN OVERRIDE)
